STATE,Pesticide Code,Pesticide Name,Average_Concentration
AL,026,"2,4-D",14.57205882352941
AL,028,Dieldrin,0.0048
AL,032,Diuron,9.408695652173913
AL,058,MGK-264,0.005
AL,070,Piperonyl butoxide,0.0075
AL,102,Carbaryl,0.0005
AL,149,Simazine,17.713506493506493
AL,153,Bromacil,23.746511627906976
AL,155,Dicamba,68.0
AL,204,Acephate,0.1121
AL,249,Prometryn,0.6733333333333333
AL,283,Metolachlor,7.6118421052631575
AL,305,Atrazine,28.099811320754718
AL,318,MCPA,31.389999999999997
AL,329,Picloram,37.0
AL,333,Propazine,5.5
AL,701,Fluometuron,5.99625
AL,731,Triclopyr,5.746341463414634
AL,758,Bentazon,0.43866666666666665
AL,780,Tebuthiuron,4.546240601503759
AL,785,Desisopropyl atrazine,10.684158415841583
AL,930,Bifenthrin,0.009128
AL,942,Prometon,1.5378225806451613
AL,964,Desethyl atrazine,7.738857142857142
AL,967,Imidacloprid,10.3
AL,ABN,Acetochlor ethanesulfonic acid (ESA),2.7
AL,ABO,Acetochlor oxanilic acid (OA),1.832
AL,ABP,Alachlor ethanesulfonic acid (ESA),20.0
AL,ABQ,Alachlor oxanilic acid (OA),1.02
AL,ACB,Imazapyr,7.611194029850746
AL,ACG,Metolachlor ethanesulfonic acid (ESA),3.6333333333333333
AL,ACH,Metolachlor oxanilic acid (OA),5.85
AL,ACP,Sulfometuron methyl,3.2
AL,ACT,Siduron,4.0
AL,ACZ,Imazapic,1.5
AL,AED,Hydroxy atrazine,7.418343195266273
AL,AEE,Imazamethabenz acid,1.0
AL,B46,Clopyralid,13.0
AR,028,Dieldrin,0.0048
AR,058,MGK-264,0.005
AR,102,Carbaryl,0.001375
AR,382,1-Naphthol,0.0025
AZ,026,"2,4-D",11.193659574468084
AZ,028,Dieldrin,0.0022
AZ,032,Diuron,30.275862068965516
AZ,125,Diphenylamine (DPA),0.0028
AZ,134,DCPA,1.3
AZ,149,Simazine,1.18
AZ,151,Trifluralin,2.5
AZ,153,Bromacil,4.2
AZ,178,Omethoate,0.5
AZ,180,Carbofuran,1.0
AZ,200,EPTC,56.0
AZ,230,Pendimethalin,7.5
AZ,249,Prometryn,0.28
AZ,283,Metolachlor,5.0
AZ,305,Atrazine,2.017857142857143
AZ,333,Propazine,13.0
AZ,596,Norflurazon,66.12857142857142
AZ,717,Chlorimuron ethyl,50.0
AZ,780,Tebuthiuron,1.0901724137931035
AZ,781,Cyfluthrin,0.0198
AZ,902,Endosulfan sulfate,0.0152
AZ,906,"DDT p,p'",0.0091
AZ,910,"DDE p,p'",0.20391428571428571
AZ,942,Prometon,2.1632073170731707
AZ,964,Desethyl atrazine,0.7199183673469387
AZ,967,Imidacloprid,2.5
AZ,ABN,Acetochlor ethanesulfonic acid (ESA),20.0
AZ,ABO,Acetochlor oxanilic acid (OA),11.15
AZ,ABP,Alachlor ethanesulfonic acid (ESA),8.882954545454545
AZ,ABQ,Alachlor oxanilic acid (OA),1.02
AZ,ACB,Imazapyr,2.8000000000000003
AZ,ACD,Imazethapyr,2.0
AZ,ACG,Metolachlor ethanesulfonic acid (ESA),6.144897959183674
AZ,ACH,Metolachlor oxanilic acid (OA),100.0
AZ,AED,Hydroxy atrazine,2.0
CA,002,Allethrin,0.017
CA,011,Captan,0.3334069968553459
CA,022,DDT,0.016037735849056604
CA,024,Diazinon,0.257487915407855
CA,026,"2,4-D",4.755756756756757
CA,028,Dieldrin,0.009863333333333333
CA,031,Dinoseb,1.3
CA,032,Diuron,23.544041379310343
CA,033,Anilazine,0.335
CA,034,Endrin,0.012096875
CA,042,Azinphos methyl,0.05788435550935551
CA,047,Dicofol Total,0.2996875
CA,050,Lindane (BHC gamma),0.0030000000000000005
CA,052,Malathion,0.04018268684957427
CA,055,Methoxychlor Total,0.20007608695652174
CA,057,Parathion methyl,0.03943396226415094
CA,058,MGK-264,0.024645
CA,065,Parathion ethyl,0.024
CA,069,Mevinphos Total,0.04780645161290323
CA,070,Piperonyl butoxide,0.10841105990783409
CA,075,Pyrethrins,0.16349999999999998
CA,083,O-Phenylphenol,0.19874806693594924
CA,087,DDD (TDE),0.01325
CA,090,Toxaphene,0.20215312500000002
CA,102,Carbaryl,0.13893908564069543
CA,104,Dodine,0.0161
CA,107,Ethion,0.0172
CA,108,Tetradifon,0.01
CA,111,Ethoxyquin,0.13523553719008263
CA,114,Chlorpropham,1.7053302849569252
CA,115,Endosulfans Total,0.05435838150289017
