STATE,Pesticide Code,Pesticide Name,Total_Concentration
AL,026,"2,4-D",2972.7
AL,028,Dieldrin,0.0192
AL,032,Diuron,216.4
AL,058,MGK-264,0.015
AL,070,Piperonyl butoxide,0.0075
AL,102,Carbaryl,0.001
AL,149,Simazine,4091.82
AL,153,Bromacil,1021.1
AL,155,Dicamba,68.0
AL,204,Acephate,0.1121
AL,249,Prometryn,2.02
AL,283,Metolachlor,578.5
AL,305,Atrazine,7446.45
AL,318,MCPA,313.9
AL,329,Picloram,74.0
AL,333,Propazine,22.0
AL,701,Fluometuron,479.7
AL,731,Triclopyr,235.6
AL,758,Bentazon,13.16
AL,780,Tebuthiuron,1209.3
AL,785,Desisopropyl atrazine,1079.1
AL,930,Bifenthrin,0.009128
AL,942,Prometon,381.38
AL,964,Desethyl atrazine,1354.3
AL,967,Imidacloprid,30.900000000000002
AL,ABN,Acetochlor ethanesulfonic acid (ESA),27.0
AL,ABO,Acetochlor oxanilic acid (OA),9.16
AL,ABP,Alachlor ethanesulfonic acid (ESA),20.0
AL,ABQ,Alachlor oxanilic acid (OA),2.04
AL,ACB,Imazapyr,1019.9
AL,ACG,Metolachlor ethanesulfonic acid (ESA),490.5
AL,ACH,Metolachlor oxanilic acid (OA),245.7
AL,ACP,Sulfometuron methyl,22.400000000000002
AL,ACT,Siduron,4.0
AL,ACZ,Imazapic,4.5
AL,AED,Hydroxy atrazine,1253.7
AL,AEE,Imazamethabenz acid,1.0
AL,B46,Clopyralid,13.0
AR,028,Dieldrin,0.0096
AR,058,MGK-264,0.01
AR,102,Carbaryl,0.0055
AR,382,1-Naphthol,0.0025
AZ,026,"2,4-D",526.102
AZ,028,Dieldrin,0.0022
AZ,032,Diuron,1756.0
AZ,125,Diphenylamine (DPA),0.0028
AZ,134,DCPA,7.800000000000001
AZ,149,Simazine,1.18
AZ,151,Trifluralin,2.5
AZ,153,Bromacil,4.2
AZ,178,Omethoate,0.5
AZ,180,Carbofuran,3.0
AZ,200,EPTC,224.0
AZ,230,Pendimethalin,7.5
AZ,249,Prometryn,1.9600000000000002
AZ,283,Metolachlor,20.0
AZ,305,Atrazine,141.25
AZ,333,Propazine,13.0
AZ,596,Norflurazon,462.9
AZ,717,Chlorimuron ethyl,50.0
AZ,780,Tebuthiuron,126.46
AZ,781,Cyfluthrin,0.0198
AZ,902,Endosulfan sulfate,0.0456
AZ,906,"DDT p,p'",0.0091
AZ,910,"DDE p,p'",1.4274
AZ,942,Prometon,177.383
AZ,964,Desethyl atrazine,35.275999999999996
AZ,967,Imidacloprid,2.5
AZ,ABN,Acetochlor ethanesulfonic acid (ESA),20.0
AZ,ABO,Acetochlor oxanilic acid (OA),22.3
AZ,ABP,Alachlor ethanesulfonic acid (ESA),781.7
AZ,ABQ,Alachlor oxanilic acid (OA),33.660000000000004
AZ,ACB,Imazapyr,39.2
AZ,ACD,Imazethapyr,2.0
AZ,ACG,Metolachlor ethanesulfonic acid (ESA),301.1
AZ,ACH,Metolachlor oxanilic acid (OA),100.0
AZ,AED,Hydroxy atrazine,2.0
CA,002,Allethrin,0.017
CA,011,Captan,424.0937
CA,022,DDT,0.85
CA,024,Diazinon,170.457
CA,026,"2,4-D",175.963
CA,028,Dieldrin,4.4385
CA,031,Dinoseb,1.3
CA,032,Diuron,1365.5544
CA,033,Anilazine,2.68
CA,034,Endrin,0.3871
CA,042,Azinphos methyl,111.3695
CA,047,Dicofol Total,4.795
CA,050,Lindane (BHC gamma),0.018000000000000002
CA,052,Malathion,42.4731
CA,055,Methoxychlor Total,18.407
CA,057,Parathion methyl,8.36
CA,058,MGK-264,1.9716
CA,065,Parathion ethyl,0.168
CA,069,Mevinphos Total,1.482
CA,070,Piperonyl butoxide,70.5756
CA,075,Pyrethrins,0.32699999999999996
CA,083,O-Phenylphenol,344.4304
CA,087,DDD (TDE),0.053
CA,090,Toxaphene,6.4689000000000005
CA,102,Carbaryl,215.7724
CA,104,Dodine,0.11270000000000001
CA,107,Ethion,0.43
CA,108,Tetradifon,0.01
CA,111,Ethoxyquin,16.3635
CA,114,Chlorpropham,2573.3434
CA,115,Endosulfans Total,9.404
CA,124,Coumaphos,0.0712
CA,125,Diphenylamine (DPA),701.7148
CA,126,Folpet,1.926
CA,129,Linuron,38.1237
CA,130,Trichlorfon,0.0044
CA,134,DCPA,32.4312
CA,143,Heptachlor epoxide,0.1074
CA,144,Dicloran,311.1195
CA,149,Simazine,3184.988
CA,151,Trifluralin,29.792
CA,153,Bromacil,1349.8
CA,157,Thiabendazole,1906.0608
CA,159,Methomyl,147.8651
CA,160,Chlorpyrifos,51.361
CA,163,Fonofos,7.492
CA,164,Chlorothalonil,66.6143
CA,165,Phosmet,124.6444
CA,166,Phosalone,0.222
CA,168,Aldicarb sulfone,0.35800000000000004
CA,169,Aldicarb sulfoxide,1.455
CA,170,Methamidophos,52.7057
CA,171,Dimethoate,41.2692
CA,172,Chlordane trans,0.1377
CA,173,Chlordane cis,0.2842
CA,175,Ethoprop,0.0617
CA,178,Omethoate,23.6309
CA,180,Carbofuran,210.5632
CA,181,Metribuzin,42.4944
CA,189,Phorate sulfone,0.1975
CA,190,Phorate sulfoxide,0.0261
CA,192,Benomyl,51.5842
CA,197,Methidathion,0.2576
CA,200,EPTC,1.3969
CA,203,Phosphamidon,0.24000000000000002
CA,204,Acephate,84.1385
CA,206,Nonachlor trans,0.0059
CA,207,Nonachlor cis,0.0025
CA,208,Malathion oxygen analog,15.534999999999998
CA,210,Carboxin,0.017
CA,216,Disulfoton sulfone,0.08
CA,217,DEF (Tribufos),0.0058
CA,219,Oxydemeton methyl,1.2499
CA,222,Permethrin cis,515.3684
CA,223,Permethrin trans,589.3159
CA,224,Profenofos,0.018000000000000002
CA,226,Demeton-S sulfone,0.126
CA,227,Alachlor,1.07
CA,230,Pendimethalin,2.057
CA,231,Iprodione metabolite isomer,61.905
CA,235,Chlorpyrifos methyl,3.4785
CA,236,Fenamiphos,0.007
CA,237,Phosmet oxygen analog,0.3428
CA,239,Bensulide,0.07780000000000001
CA,245,Oxydemeton methyl sulfone,0.3986
CA,249,Prometryn,4.4863
CA,253,"Dicofol o,p'",1.6836
CA,254,"Dicofol p,p'",33.2495
CA,255,Cyromazine,2.1285
CA,264,Propiconazole,72.0066
CA,271,Fenarimol,0.17900000000000002
CA,275,"Methoxychlor p,p'",1.1578
CA,283,Metolachlor,1296.6491
CA,297,Fluvalinate,0.060899999999999996
CA,300,DDE,9.028
CA,304,Quintozene (PCNB),0.7037
CA,305,Atrazine,378.7314
CA,318,MCPA,8.5
CA,321,Hexachlorobenzene (HCB),0.0307
CA,338,Dichlorvos (DDVP),3.3473
CA,341,Propanil,595.075
CA,343,Monocrotophos,0.641
CA,351,Pentachloroaniline (PCA),0.6875
CA,352,Mirex,0.0017
CA,382,1-Naphthol,55.6547
CA,387,Pentachlorobenzene (PCB),0.2544
CA,388,Pentachlorophenyl methyl sulfide,0.0069
CA,395,Diazinon oxygen analog,166.98499999999999
CA,512,3-Hydroxycarbofuran,0.44580000000000003
CA,529,Vinclozolin,26.311600000000002
CA,536,Triazophos,0.057600000000000005
CA,537,Oxamyl,31.2436
CA,539,Permethrin Total,1109.0764
CA,540,Pronamide,0.5537
CA,546,Fenvalerate,1.2423
CA,556,Resmethrin,0.116
CA,562,Pirimiphos methyl,0.0581
CA,580,Pirimicarb,0.1252
CA,593,Procymidone,0.24
CA,594,Napropamide,0.1774
CA,596,Norflurazon,443.6109
CA,597,Cypermethrin,367.0327
CA,604,Imazalil,263.7574
CA,607,Metalaxyl/Mefenoxam,51.7208
CA,608,Triadimefon,0.367
CA,611,Thiophanate methyl,1.87
CA,612,Deltamethrin  (includes parent Tralomethrin),4.6917
CA,623,Propargite,103.185
CA,624,Tetrahydrophthalimide (THPI),354.3965
CA,625,Oxadiazon,0.0147
CA,626,Iprodione,1400.3638
CA,633,Hexazinone,104.0
CA,638,Triadimenol,2.3770000000000002
CA,639,Fenbutatin oxide,9.7333
CA,651,Diflubenzuron,2.4577999999999998
CA,658,Bendiocarb,0.22100000000000003
CA,661,Quinalphos,0.0014
CA,666,Carbendazim (MBC),22.95
CA,678,Terbuthylazine,0.011
CA,679,Myclobutanil,65.8759
CA,699,Clofentezine,0.4759
CA,713,Oxyfluorfen,0.1298
CA,714,Esfenvalerate,3.3243
CA,720,Norflurazon desmethyl,0.1936
CA,722,Etridiazole,0.017
CA,723,Formetanate hydrochloride,16.5717
CA,726,Thiobencarb,127.0017
CA,730,Ethephon,11.399
CA,731,Triclopyr,145.1
CA,736,Fluridone,0.0319
CA,737,Oryzalin,0.021
CA,738,Terbutryn,0.0258
CA,740,Bensulide oxygen analog,0.1732
CA,745,Fenamiphos sulfone,0.052
CA,746,Fenamiphos sulfoxide,0.083
CA,758,Bentazon,1.49
CA,769,Azinphos methyl oxygen analog,0.06
CA,772,Chlorpyrifos oxygen analog,0.0022
CA,780,Tebuthiuron,33.561
CA,781,Cyfluthrin,57.9261
CA,784,Desethyl-desisopropyl atrazine,6603.55
CA,785,Desisopropyl atrazine,2204.2
CA,804,Tricyclazole,0.4602
CA,807,Acetochlor,17.0
CA,808,Fenpropathrin,66.5129
CA,833,Prochloraz,0.11
CA,855,Isoprothiolane,0.23179999999999998
CA,872,Bupirimate,0.0024
CA,877,Cymoxanil,0.6232
CA,886,Fenpropimorph,0.0986
CA,900,Endosulfan I,33.971000000000004
CA,901,Endosulfan II,32.8083
CA,902,Endosulfan sulfate,66.8012
CA,903,BHC alpha,0.001
CA,906,"DDT p,p'",1.3135000000000001
CA,907,"DDT o,p'",0.4321
CA,908,"DDD p,p'",2.3716
CA,909,"DDD o,p'",0.2998
CA,910,"DDE p,p'",35.9136
CA,911,"DDE o,p'",0.0433
CA,915,Triforine,0.098
CA,930,Bifenthrin,38.0018
CA,942,Prometon,5.116
CA,947,Tetramethrin,0.55
CA,948,Abamectin,0.136
CA,954,Hexaconazole,0.5322
CA,956,Penconazole,0.033
CA,964,Desethyl atrazine,412.43
CA,967,Imidacloprid,137.0285
CA,A30,Fenbuconazole,6.3916
CA,A39,Lambda cyhalothrin total,2.56
CA,A46,Oxadixyl,0.806
CA,A47,Oxamyl oxime,31.7418
CA,A48,Paclobutrazol,0.053
CA,A54,RH 9129 (fenbuconazole metab.),0.041
CA,A55,RH 9130 (fenbuconazole metab.),0.01
CA,A58,Tebuconazole,86.4229
CA,A61,Triflumizole,8.2676
CA,A68,"1,2,4-Triazole",0.005
CA,A82,Fipronil,0.006
CA,AAB,Ivermectin,0.002
CA,AAD,SD-31723,0.048
CA,AAE,SD-33608,0.01
CA,ABB,Spinosad,20.3846
CA,ABC,Spinosad A,11.2576
CA,ABD,Spinosad D,2.2513
CA,ABF,Pymetrozine,0.395
CA,ABG,Tebufenozide,1.7775
CA,ABH,Propiconazole I,2.177
CA,ABI,Propiconazole II,4.33
CA,ABN,Acetochlor ethanesulfonic acid (ESA),2.7
CA,ABO,Acetochlor oxanilic acid (OA),2.3
CA,ABP,Alachlor ethanesulfonic acid (ESA),5.6
CA,ABQ,Alachlor oxanilic acid (OA),1.02
