STATE,Pesticide Code,Pesticide Name,Average_Concentration
AL,155,Dicamba,68.0
AL,329,Picloram,37.0
AL,318,MCPA,31.39
AL,305,Atrazine,28.09981132075472
AL,153,Bromacil,23.746511627906976
AR,058,MGK-264,0.005
AR,028,Dieldrin,0.0048
AR,382,1-Naphthol,0.0025
AR,102,Carbaryl,0.001375
AZ,ACH,Metolachlor oxanilic acid (OA),100.0
AZ,596,Norflurazon,66.12857142857142
AZ,200,EPTC,56.0
AZ,717,Chlorimuron ethyl,50.0
AZ,032,Diuron,30.27586206896552
CA,784,Desethyl-desisopropyl atrazine,600.3227272727273
CA,785,Desisopropyl atrazine,244.9111111111111
CA,153,Bromacil,168.725
CA,596,Norflurazon,73.93515000000001
CA,341,Propanil,49.58958333333334
CO,AED,Hydroxy atrazine,72.7
CO,964,Desethyl atrazine,50.0
CO,324,Dichlobenil,11.2
CO,046,Monuron,7.492
CO,305,Atrazine,6.60098
CT,967,Imidacloprid,10.0
CT,ACB,Imazapyr,4.2
DC,ACG,Metolachlor ethanesulfonic acid (ESA),186.41304347826087
DC,964,Desethyl atrazine,77.66333333333333
DC,305,Atrazine,73.6532967032967
DC,026,"2,4-D",54.58857142857143
DC,318,MCPA,39.48333333333333
DE,ACG,Metolachlor ethanesulfonic acid (ESA),26.3
DE,964,Desethyl atrazine,17.0
DE,ACB,Imazapyr,4.2
DE,165,Phosmet,0.0807
DE,AAX,Ethion mono oxon,0.0072
FL,153,Bromacil,786.5053684210526
FL,ABP,Alachlor ethanesulfonic acid (ESA),459.1620689655173
FL,ABQ,Alachlor oxanilic acid (OA),252.35933333333332
FL,ACH,Metolachlor oxanilic acid (OA),107.7
FL,ACB,Imazapyr,67.7874193548387
GA,ABP,Alachlor ethanesulfonic acid (ESA),479.4
GA,ACH,Metolachlor oxanilic acid (OA),223.4333333333333
GA,ABQ,Alachlor oxanilic acid (OA),167.505
GA,227,Alachlor,161.0
GA,B23,Fludioxonil,62.4
HI,964,Desethyl atrazine,28.0
HI,305,Atrazine,6.0
IA,032,Diuron,183.0
IA,807,Acetochlor,160.84542857142856
IA,ACG,Metolachlor ethanesulfonic acid (ESA),94.5695238095238
IA,305,Atrazine,85.12329126213592
IA,ABN,Acetochlor ethanesulfonic acid (ESA),54.02268493150685
ID,153,Bromacil,367.5
ID,ACG,Metolachlor ethanesulfonic acid (ESA),45.1165
ID,ACB,Imazapyr,33.94416666666667
ID,967,Imidacloprid,31.0
ID,784,Desethyl-desisopropyl atrazine,25.0
IL,ACG,Metolachlor ethanesulfonic acid (ESA),389.9633507853403
IL,ABO,Acetochlor oxanilic acid (OA),357.3821989528796
IL,ABN,Acetochlor ethanesulfonic acid (ESA),336.9685863874345
IL,305,Atrazine,256.8434554973822
IL,A58,Tebuconazole,150.0
IN,ACG,Metolachlor ethanesulfonic acid (ESA),460.451
IN,052,Malathion,331.0
IN,675,Propachlor,287.0
IN,ACH,Metolachlor oxanilic acid (OA),272.09375
IN,305,Atrazine,260.5
KS,305,Atrazine,282.9811881188119
KS,964,Desethyl atrazine,117.5111581920904
KS,155,Dicamba,111.555
KS,AED,Hydroxy atrazine,84.699
KS,026,"2,4-D",57.990893203883495
KY,305,Atrazine,148.32413793103447
KY,785,Desisopropyl atrazine,83.0
KY,731,Triclopyr,72.77000000000001
KY,026,"2,4-D",60.041964285714286
KY,964,Desethyl atrazine,58.66896551724138
LA,181,Metribuzin,1879.8032352941173
LA,305,Atrazine,438.2379421221865
LA,AED,Hydroxy atrazine,194.92
LA,964,Desethyl atrazine,144.91354385964914
LA,ACG,Metolachlor ethanesulfonic acid (ESA),129.38845637583893
MA,964,Desethyl atrazine,2.5
MA,633,Hexazinone,2.498
MA,ACG,Metolachlor ethanesulfonic acid (ESA),0.599
MD,807,Acetochlor,635.0
MD,ACG,Metolachlor ethanesulfonic acid (ESA),586.8726054054055
MD,ACH,Metolachlor oxanilic acid (OA),126.43622435897436
MD,155,Dicamba,92.5
MD,ABP,Alachlor ethanesulfonic acid (ESA),83.02508333333334
ME,ACG,Metolachlor ethanesulfonic acid (ESA),84.0
ME,964,Desethyl atrazine,41.3
ME,ABP,Alachlor ethanesulfonic acid (ESA),22.0
ME,607,Metalaxyl/Mefenoxam,18.45
ME,ACB,Imazapyr,15.0
MI,305,Atrazine,163.30571484716157
MI,ABN,Acetochlor ethanesulfonic acid (ESA),156.24128
MI,ACG,Metolachlor ethanesulfonic acid (ESA),142.49751999999998
MI,ABO,Acetochlor oxanilic acid (OA),133.74588811188812
MI,807,Acetochlor,127.21612903225804
MN,784,Desethyl-desisopropyl atrazine,174.0
MN,807,Acetochlor,80.47142857142858
MN,ACG,Metolachlor ethanesulfonic acid (ESA),64.36466666666666
MN,024,Diazinon,59.0
MN,ABO,Acetochlor oxanilic acid (OA),58.83827906976744
MO,AED,Hydroxy atrazine,596.6867469879518
MO,ACH,Metolachlor oxanilic acid (OA),448.1220930232558
MO,ACG,Metolachlor ethanesulfonic acid (ESA),343.9011627906977
MO,ABO,Acetochlor oxanilic acid (OA),335.54491017964074
MO,305,Atrazine,327.6415633802817
MS,ACG,Metolachlor ethanesulfonic acid (ESA),5.0
MS,ACH,Metolachlor oxanilic acid (OA),5.0
MS,758,Bentazon,4.35
MS,075,Pyrethrins,0.1
MS,058,MGK-264,0.06582
MT,329,Picloram,36.94714285714286
MT,B46,Clopyralid,12.947727272727272
MT,B53,Epoxiconazole,11.5
MT,967,Imidacloprid,10.323
MT,026,"2,4-D",7.153757142857143
NC,726,Thiobencarb,190.0
NC,341,Propanil,170.0
NC,ACG,Metolachlor ethanesulfonic acid (ESA),110.37992378752888
NC,227,Alachlor,109.329
NC,031,Dinoseb,104.0
ND,807,Acetochlor,73.30967741935484
ND,222,Permethrin cis,68.0
ND,729,Bromoxynil,65.0
ND,102,Carbaryl,38.0
ND,B53,Epoxiconazole,33.0
NE,ACG,Metolachlor ethanesulfonic acid (ESA),1547.495945945946
NE,ABP,Alachlor ethanesulfonic acid (ESA),315.5678899082569
NE,784,Desethyl-desisopropyl atrazine,221.1517857142857
NE,ACH,Metolachlor oxanilic acid (OA),214.13591428571428
NE,283,Metolachlor,197.67381818181815
NH,ACB,Imazapyr,882.0
NH,305,Atrazine,203.55
