,Date,Town,State/Province,Latitude,Longitude,Number
1,07/25/10,Sedalia,MO,38.7,-93.3,1
2,07/25/10,Collegeville,PA,40.2,-75.4,1
3,07/25/10,Independence,MO,39.1,-94.4,1
4,07/18/10,Jackson,NJ,40.1,-74.4,1
5,07/09/10,Plum Borough,PA,40.6,-79.7,1
6,07/06/10,Pahrump,NV,36.3,-115.8,1
7,06/24/10,Overland Park,KS,39,-94.7,1
8,05/30/10,Redford,MI,42.4,-83.3,1
9,05/18/10,Colorado Springs,CO,38.8,-104.8,1
10,05/10/10,Fargo,ND,46.9,-96.8,1
11,05/04/10,"Taos, NM",NM,36.4,-105.7,1
12,03/12/10,Huntington Beach,CA,33.7,-118,1
13,03/07/10,Port Saint Lucie,FL,27.3,-80.3,1
14,02/28/10,Savannah,GA,32.1,-81.1,1
15,02/28/10,Kissimmee,FL,28.3,-81.4,1
16,02/26/10,Coral Gables,FL,25.8,-80.3,1
17,02/25/10,Palm Harbor,FL,28.1,-82.8,1
18,02/25/10,Metairie,LA,30,-90.2,1
19,02/22/10,San Luis Obispo,CA,35.2,-120.6,1
20,02/22/10,Big Sur,CA,36.2,-121.6,1
21,02/17/10,El Reno,OK,35.5,-98,3
22,02/16/10,Zitacuaro,MIC,19.4,-100.4,1
23,02/14/10,Big Sur,CA,36.2,-121.6,1
24,02/14/10,San Luis Obispo,CA,35.2,-120.6,1
25,02/10/10,Cocoa Beach,FL,28.3,-80.6,1
26,02/05/10,Port Charlotte,FL,27,-82.1,1
27,02/05/10,Port Lavaca,TX,28.5,-96.7,1
28,02/04/10,Punta Gorda,FL,26.9,-82.1,1
29,02/04/10,Gretna,LA,29.9,-90,1
30,02/01/10,San Luis Obispo,CA,35.2,-120.6,1
31,02/01/10,Big Sur,CA,36.2,-121.6,1
32,02/01/10,St Petersburg,FL,27.8,-82.7,1
33,01/28/10,League City,TX,29.5,-95.1,1
34,01/26/10,Cypress,TX,30,-95.7,1
35,01/26/10,Ft Myers,FL,26.5,-81.8,1
36,01/25/10,Corpus Christi,TX,27.8,-97.4,1
37,01/25/10,Palm Harbor,FL,28.1,-82.8,1
38,01/24/10,Everglades National Park,FL,25.3,-80.9,1
39,01/23/10,Homestead,FL,25.5,-80.5,1
40,01/21/10,San Luis Obispo,CA,35.2,-120.6,1
41,01/21/10,Big Sur,CA,36.2,-121.6,1
42,01/21/10,Clearwater,FL,28,-82.8,1
43,01/19/10,Skidaway Island,GA,31.9,-81,1
44,01/19/10,Huntington Beach,CA,33.7,-118,1
45,01/18/10,"Galveston, Moody Gardens",TX,29.3,-94.8,1
46,01/15/10,benbrook,TX,32.6,-97.5,1
47,01/13/10,Desert Botanical Gardens,AZ,33.5,-111.9,1
48,01/13/10,Rio Salado Restoration Habitat,AZ,33.4,-112.1,1
49,01/09/10,Folly Beach,SC,32.7,-80,1
50,01/09/10,Mount Pleasant,SC,32.8,-79.8,1
51,01/08/10,Big Sur,CA,36.2,-121.6,1
52,01/08/10,San Luis Obispo,CA,35.2,-120.6,1
53,01/07/10,New Orleans,LA,30,-90.1,2
54,01/04/10,W Melbourne,FL,28.1,-80.7,1
55,01/01/10,Oldsmar,FL,28,-82.7,1
