city_ascii,state_id,county_name,lat,lng
New York,NY,Queens,40.6943,-73.9249
Los Angeles,CA,Los Angeles,34.1141,-118.4068
Chicago,IL,Cook,41.8375,-87.6866
Miami,FL,Miami-Dade,25.784,-80.2101
Houston,TX,Harris,29.786,-95.3885
Dallas,TX,Dallas,32.7935,-96.7667
Philadelphia,PA,Philadelphia,40.0077,-75.1339
Atlanta,GA,Fulton,33.7628,-84.422
Washington,DC,District of Columbia,38.9047,-77.0163
Boston,MA,Suffolk,42.3188,-71.0852
Phoenix,AZ,Maricopa,33.5722,-112.0892
Detroit,MI,Wayne,42.3834,-83.1024
Seattle,WA,King,47.6211,-122.3244
San Francisco,CA,San Francisco,37.7558,-122.4449
San Diego,CA,San Diego,32.8313,-117.1222
Minneapolis,MN,Hennepin,44.9635,-93.2678
Tampa,FL,Hillsborough,27.9945,-82.4447
Brooklyn,NY,Kings,40.6501,-73.9496
Denver,CO,Denver,39.762,-104.8758
Queens,NY,Queens,40.7498,-73.7976
Riverside,CA,Riverside,33.9381,-117.3949
Las Vegas,NV,Clark,36.2333,-115.2654
Baltimore,MD,Baltimore,39.3051,-76.6144
St. Louis,MO,St. Louis,38.6359,-90.2451
Portland,OR,Multnomah,45.5371,-122.65
San Antonio,TX,Bexar,29.4632,-98.5238
Sacramento,CA,Sacramento,38.5677,-121.4685
Austin,TX,Travis,30.3005,-97.7522
Orlando,FL,Orange,28.4773,-81.337
San Juan,PR,San Juan,18.3985,-66.061
San Jose,CA,Santa Clara,37.3012,-121.848
Pittsburgh,PA,Allegheny,40.4397,-79.9763
Indianapolis,IN,Marion,39.7771,-86.1458
Manhattan,NY,New York,40.7834,-73.9662
Cincinnati,OH,Hamilton,39.1413,-84.506
Kansas City,MO,Jackson,39.1238,-94.5541
Cleveland,OH,Cuyahoga,41.4764,-81.6805
Columbus,OH,Franklin,39.9862,-82.9855
Bronx,NY,Bronx,40.8501,-73.8662
Virginia Beach,VA,Virginia Beach,36.7335,-76.0435
Charlotte,NC,Mecklenburg,35.2083,-80.8303
Milwaukee,WI,Milwaukee,43.0642,-87.9675
Providence,RI,Providence,41.823,-71.4187
Jacksonville,FL,Duval,30.3322,-81.6749
Nashville,TN,Davidson,36.1715,-86.7842
Salt Lake City,UT,Salt Lake,40.7776,-111.9311
Raleigh,NC,Wake,35.8324,-78.6429
Richmond,VA,Richmond,37.5295,-77.4756
Memphis,TN,Shelby,35.1087,-89.9663
Oklahoma City,OK,Oklahoma,35.4676,-97.5136
Hartford,CT,Capitol,41.7661,-72.6834
Louisville,KY,Jefferson,38.1663,-85.6485
