,Date,Town,State/Province,Latitude,Longitude,Number
1,07/31/20,Berkley,MA,41.8,-71,1
2,07/31/20,Mocksville,NC,35.9,-80.5,2
3,07/31/20,Mineral Twp,PA,41.4,-80,1
4,07/31/20,Cornelius,NC,35.5,-80.9,1
5,07/31/20,Toronto,ON,43.6,-79.5,3
6,07/31/20,Nebraska City,NE,40.7,-95.9,1
7,07/31/20,Bartlett,IL,41.9,-88.2,1
8,07/31/20,Brampton,ON,43.7,-79.8,1
9,07/31/20,Orillia,ON,44.6,-79.4,1
10,07/31/20,Louisville,KY,38.1,-85.9,1
11,07/31/20,Asbury Park,NJ,40.2,-74,1
12,07/31/20,Garden City,ID,43.7,-116.3,1
13,07/31/20,Lakewood,OH,41.5,-81.8,2
14,07/31/20,Louisville,KY,38.1,-85.9,1
15,07/31/20,Asbury Park,NJ,40.2,-74,1
16,07/31/20,Evanston,IL,42.1,-87.7,1
17,07/31/20,Town of Laona,WI,45.6,-88.7,4
18,07/31/20,Pass Christian,MS,30.3,-89.2,3
19,07/31/20,Madison Lake,MN,44.2,-93.8,1
20,07/31/20,Morgantown,WV,39.6,-80,1
21,07/31/20,Grawn,MI,44.6,-85.7,1
22,07/31/20,New Cumberland,PA,40.2,-76.9,1
23,07/31/20,Smith River,CA,41.9,-124.2,1
24,07/31/20,Corpus Christi,TX,27.8,-97.4,1
25,07/31/20,Waterloo,ON,43.5,-80.5,3
26,07/31/20,Keyport,NJ,40.4,-74.2,1
27,07/31/20,Omaha,NE,41.3,-95.9,2
28,07/31/20,Reston,VA,38.9,-77.3,1
29,07/31/20,Ashland,MA,42.3,-71.4,1
30,07/31/20,Hammond,IN,41.6,-87.5,4
31,07/31/20,Mabel,MN,43.5,-91.9,22
32,07/31/20,Broken Arrow,OK,36.1,-95.8,1
33,07/31/20,Oklahoma City,OK,35.6,-97.5,1
34,07/31/20,Woodbridge,VA,38.7,-77.2,1
35,07/31/20,Beachwood,OH,41.5,-81.5,7
36,07/31/20,Cambridge,WI,43,-89,1
37,07/31/20,Lunenburg,MA,42.6,-71.8,1
38,07/31/20,Phoenixville,PA,40.1,-75.5,1
39,07/31/20,Saint Louis,MO,38.6,-90.3,2
40,07/31/20,Allenton,WI,43.4,-88.4,1
41,07/31/20,Silver Spring,MD,39,-77,2
42,07/31/20,Lake Placid,NY,44.2,-74,4
43,07/31/20,Minneapolis,MN,45,-93.2,7
44,07/31/20,Bath,MI,42.8,-84.4,1
45,07/31/20,Milwaukee,WI,43,-88.1,2
46,07/31/20,Burlington,ON,43.3,-79.8,79
47,07/31/20,Mount Arlington,NJ,40.9,-74.6,1
48,07/31/20,Cincinnati,OH,39.3,-84.4,1
49,07/30/20,Leamington,ON,42,-82.5,3
50,07/30/20,Asbury Park,NJ,40.2,-74,1
51,07/30/20,Mankato,MN,44.2,-94,1
52,07/30/20,Minneapolis,MN,45.2,-93.3,1
53,07/30/20,Nottingham,MD,39.4,-76.5,1
54,07/30/20,Erie,PA,42.1,-80.1,1
55,07/30/20,Ajax,ON,43.9,-79,1
56,07/30/20,Ajax,ON,43.9,-79,1
57,07/30/20,Big Rapids,MI,43.7,-85.6,16
58,07/30/20,Keyport,NJ,40.4,-74.2,1
59,07/30/20,Lander,WY,42.8,-108.8,1
60,07/30/20,Maplewood,NJ,40.7,-74.3,1
61,07/30/20,Minneapolis,MN,45,-93.2,4
62,07/30/20,Mocksville,NC,35.9,-80.5,1
63,07/30/20,Lake Elsinore,CA,33.7,-117.3,1
64,07/30/20,Columbia,MD,39.2,-76.9,1
65,07/30/20,Nebraska City,NE,40.8,-96,1
66,07/30/20,Beachwood,OH,41.5,-81.5,1
67,07/30/20,Mabel,MN,43.5,-91.9,16
68,07/30/20,Cambridge,WI,43,-89,2
69,07/30/20,Waterloo,ON,43.5,-80.5,4
70,07/30/20,Town of Laona,WI,45.6,-88.7,4
71,07/30/20,Portage,WI,43.5,-89.6,2
72,07/30/20,Portage,WI,43.5,-89.5,1
73,07/30/20,Town of Lancaster,NY,42.9,-78.6,1
74,07/30/20,Lake Elsinore,CA,33.7,-117.3,1
75,07/30/20,Keyport,NJ,40.4,-74.2,1
76,07/30/20,Herndon,VA,39,-77.4,1
77,07/30/20,Broken Arrow,OK,36.1,-95.7,1
78,07/30/20,Kansasville,WI,42.6,-88.1,16
79,07/30/20,Belfast,ME,44.4,-69,1
80,07/30/20,Ann Arbor,MI,42.3,-83.7,2
81,07/30/20,Brown City,MI,43.2,-83.1,3
82,07/30/20,Toronto,ON,43.7,-79.3,1
83,07/30/20,Saint Louis,MO,38.6,-90.3,3
84,07/30/20,Allenton,WI,43.4,-88.4,1
85,07/30/20,Ellsworth,ME,44.5,-68.4,1
86,07/30/20,Conroe,TX,30.3,-95.5,1
87,07/30/20,Newport News,VA,37.1,-76.5,1
88,07/30/20,Inlet,NY,43.8,-74.8,2
89,07/30/20,Tulsa,OK,36.2,-96,1
90,07/30/20,Minneapolis,MN,45,-93.2,7
91,07/30/20,O Fallon,MO,38.8,-90.7,1
92,07/30/20,Pleasant Hill,IA,41.6,-93.5,1
93,07/30/20,Dayton,OH,39.8,-84.1,5
94,07/29/20,Town of Laona,WI,45.6,-88.7,5
95,07/29/20,Asbury Park,NJ,40.2,-74,1
96,07/29/20,Deep River,CT,41.4,-72.4,1
97,07/29/20,Louisville,KY,38.1,-85.9,1
98,07/29/20,Beachwood,OH,41.5,-81.5,5
99,07/29/20,Baltimore,MD,39.3,-76.6,1
100,07/29/20,Broken Arrow,OK,36,-95.8,1
101,07/29/20,Stonington,CT,41.3,-71.9,25
102,07/29/20,East Greenbush,NY,42.6,-73.7,1
103,07/29/20,Bowie,MD,39,-76.7,1
104,07/29/20,Louisville,KY,38.1,-85.9,1
105,07/29/20,Elyria,OH,41.3,-82.1,1
106,07/29/20,Portage,WI,43.6,-89.6,2
107,07/29/20,Portage,WI,43.6,-89.6,4
108,07/29/20,Portage,WI,43.6,-89.6,2
109,07/29/20,Mabel,MN,43.5,-91.9,14
110,07/29/20,Town of Laona,WI,45.6,-88.7,8
111,07/29/20,Maineville,OH,39.3,-84.2,2
112,07/29/20,Aurora,CO,39.6,-104.8,50
113,07/29/20,Lakeshore,ON,42.2,-82.9,2
114,07/29/20,Chipman,NB,46.2,-65.9,1
115,07/29/20,Nottingham,MD,39.4,-76.5,1
116,07/29/20,Dayton,OH,39.6,-84.1,1
117,07/29/20,Waterloo,ON,43.5,-80.5,4
118,07/29/20,Morris Plains,NJ,40.8,-74.5,2
119,07/29/20,Oxford,OH,39.5,-84.8,1
120,07/29/20,Columbus,IN,39.2,-85.9,9
121,07/29/20,Cambridge,WI,43,-89,3
122,07/29/20,Trevor,WI,42.5,-88.1,1
123,07/29/20,Westfield,IN,40,-86.1,1
124,07/29/20,Asbury Park,NJ,40.2,-74,1
125,07/29/20,Gaithersburg,MD,39.1,-77.2,1
126,07/29/20,Town of Laona,WI,45.6,-88.7,8
127,07/29/20,Lusby,MD,38.4,-76.5,1
128,07/29/20,Westpoint,IN,40.3,-87,1
129,07/29/20,Buffalo,NY,43,-78.8,1
130,07/29/20,Ballwin,MO,38.6,-90.5,1
131,07/29/20,Hammond,IN,41.6,-87.5,6
132,07/29/20,Griffith,IN,41.5,-87.4,1
133,07/29/20,Merrillville,IN,41.5,-87.4,1
134,07/29/20,Griffith,IN,41.5,-87.4,4
135,07/29/20,Wildwood,MO,38.6,-90.6,1
136,07/29/20,Fort Wayne,IN,41.2,-85.2,1
137,07/29/20,Tulsa,OK,36.1,-95.9,1
138,07/29/20,Moose Lake,MN,46.4,-92.7,1
139,07/29/20,Toronto,ON,43.7,-79.3,1
140,07/29/20,Saint Louis,MO,38.6,-90.3,2
141,07/29/20,Allenton,WI,43.4,-88.4,1
142,07/29/20,Minneapolis,MN,45,-93.2,5
143,07/28/20,Asbury Park,NJ,40.2,-74,1
144,07/28/20,Wilmington,DE,39.8,-75.5,1
145,07/28/20,Mystic,CT,41.4,-72,1
146,07/28/20,Winter Harbor,ME,44.3,-68.1,1
147,07/28/20,Fairfield,PA,39.8,-77.4,1
148,07/28/20,Hyattsville,MD,39,-76.9,1
149,07/28/20,Nipomo,CA,35,-120.5,1
150,07/28/20,Barnesville,MN,46.7,-96.4,13
151,07/28/20,Greenville,OH,40.1,-84.6,3
152,07/28/20,Meredith,NH,43.7,-71.5,1
153,07/28/20,Waterloo,ON,43.5,-80.5,3
154,07/28/20,Maplewood,NJ,40.7,-74.3,1
155,07/28/20,Beachwood,OH,41.5,-81.5,2
156,07/28/20,Depew,NY,42.9,-78.7,1
157,07/28/20,Holland Patent,NY,43.2,-75.3,2
158,07/28/20,Valyermo,CA,34.2,-117.7,1
159,07/28/20,Mankato,MN,44.2,-94,1
160,07/28/20,Wildwood,MO,38.6,-90.7,2
161,07/28/20,Brampton,ON,43.7,-79.8,1
162,07/28/20,Saint Louis,MO,38.7,-90.5,1
163,07/28/20,Hammond,IN,41.6,-87.5,1
164,07/28/20,Hammond,IN,41.6,-87.5,8
165,07/28/20,Hammond,IN,41.6,-87.5,1
166,07/28/20,Merrillville,IN,41.5,-87.3,1
167,07/28/20,Merrillville,IN,41.5,-87.4,1
168,07/28/20,Hammond,IN,41.6,-87.5,1
169,07/28/20,Saint Louis,MO,38.6,-90.3,1
170,07/28/20,Halifax,NS,44.7,-63.5,1
171,07/28/20,Allenton,WI,43.4,-88.4,1
172,07/28/20,Minneapolis,MN,45,-93.2,6
173,07/28/20,Kings Mountain,NC,35.2,-81.4,2
174,07/27/20,Arlington,VA,38.9,-77.1,1
175,07/27/20,Sunman,IN,39.2,-85,1
176,07/27/20,Hudson,MA,42.4,-71.6,1
177,07/27/20,Zionsville,IN,40,-86.3,1
178,07/27/20,Minneapolis,MN,45,-93.2,1
179,07/27/20,Deep River,CT,41.4,-72.4,1
180,07/27/20,New Cumberland,PA,40.2,-76.9,1
181,07/27/20,Shreveport,LA,32.4,-93.7,1
182,07/27/20,Louisville,KY,38.1,-85.9,1
183,07/27/20,London,ON,43,-81.3,1
184,07/27/20,Minneapolis,MN,45,-93.2,1
185,07/27/20,Minneapolis,MN,45,-93.2,1
186,07/27/20,Mabel,MN,43.5,-91.9,20
187,07/27/20,Laona,WI,45.6,-88.7,4
188,07/27/20,Saint Clair Shores,MI,42.5,-82.9,1
189,07/27/20,Salt Lake City,UT,40.7,-111.9,1
190,07/27/20,Cloquet,MN,46.7,-92.4,1
191,07/27/20,Asbury Park,NJ,40.2,-74,2
192,07/27/20,Bedford,MA,42.5,-71.3,4
193,07/27/20,Newburgh,IN,37.9,-87.4,2
194,07/27/20,Arvada,CO,39.8,-105.1,1
195,07/27/20,Cambridge,WI,43,-89,2
196,07/27/20,Mckinleyville,CA,40.9,-124.1,1
197,07/27/20,Town of Merrimac,WI,43.4,-89.7,5
198,07/27/20,Zionsville,IN,40,-86.3,1
199,07/27/20,Slocum Twp,PA,41.1,-76,1
200,07/27/20,Edgewood,NM,35.2,-106.2,1
201,07/27/20,Meredith,NH,43.7,-71.5,2
202,07/27/20,Sparta,MI,43.2,-85.6,1
203,07/27/20,Santa Fe,NM,35.6,-106.1,1
204,07/27/20,Annapolis,MD,38.9,-76.5,1
205,07/27/20,Halifax,NS,44.7,-63.5,1
206,07/27/20,Brampton,ON,43.7,-79.8,1
207,07/27/20,Cape Girardeau,MO,37.3,-89.5,1
208,07/27/20,Griffith,IN,41.5,-87.4,3
209,07/27/20,Saint Louis,MO,38.6,-90.3,1
210,07/27/20,Saint Louis,MO,38.6,-90.3,2
211,07/27/20,Allenton,WI,43.4,-88.4,1
212,07/27/20,Maumelle,AR,34.9,-92.4,1
213,07/27/20,Omaha,NE,41.2,-96.1,1
214,07/27/20,Inlet,NY,43.8,-74.8,3
215,07/27/20,Minneapolis,MN,45,-93.2,4
216,07/27/20,Hammond,IN,41.6,-87.5,1
217,07/27/20,Cincinnati,OH,39.3,-84.4,1
218,07/26/20,Toronto,ON,43.6,-79.5,1
219,07/26/20,Annapolis,MD,38.9,-76.5,1
220,07/26/20,Beachwood,OH,41.5,-81.5,12
221,07/26/20,Saint Louis,MO,38.6,-90.3,1
222,07/26/20,Windsor,ON,42.3,-82.9,1
223,07/26/20,Hutchinson,KS,38.1,-97.9,1
224,07/26/20,Las Cruces,NM,32.2,-106.8,1
225,07/26/20,Glen Rose,TX,32.2,-97.8,1
226,07/26/20,Elkton,MD,39.6,-75.8,1
227,07/26/20,Oxford,OH,39.5,-84.8,2
228,07/26/20,Elkton,MD,39.5,-75.9,1
229,07/26/20,Green Bay,WI,44.5,-88,1
230,07/26/20,Oakton,VA,38.9,-77.3,1
231,07/26/20,Mabel,MN,43.5,-91.9,19
232,07/26/20,Emeryville,CA,37.8,-122.3,1
233,07/26/20,New Bern,NC,35.1,-77.1,1
234,07/26/20,New Cumberland,PA,40.2,-76.9,1
235,07/26/20,Derwood,MD,39.1,-77.1,1
236,07/26/20,Edmond,OK,35.7,-97.5,1
237,07/26/20,Cookville,TX,33.2,-94.8,1
238,07/26/20,Waterloo,ON,43.5,-80.5,5
239,07/26/20,Belleville,KS,39.8,-97.6,2
240,07/26/20,Keyport,NJ,40.4,-74.2,2
241,07/26/20,Arlington,VA,38.9,-77.1,1
242,07/26/20,Arlington,VA,38.9,-77.1,1
243,07/26/20,Webb City,MO,37.2,-94.5,3
244,07/26/20,Milwaukee,WI,43.1,-87.9,1
245,07/26/20,Caldwell,NJ,40.9,-74.3,2
246,07/26/20,Phoenixville,PA,40.1,-75.5,1
247,07/26/20,Douglas,MA,42,-71.7,1
248,07/26/20,Washington,DC,39,-77,1
249,07/26/20,Brownfield,ME,43.9,-70.9,1
250,07/26/20,Howell,MI,42.6,-83.9,11
251,07/26/20,Moravia,NY,42.8,-76.5,1
252,07/26/20,Melrose,NY,42.8,-73.6,2
253,07/26/20,Discovery Bay,CA,37.9,-121.6,1
254,07/26/20,Valyermo,CA,34.2,-117.7,2
255,07/26/20,Brampton,ON,43.7,-79.8,1
256,07/26/20,Saint Louis,MO,38.6,-90.3,1
257,07/26/20,Allenton,WI,43.4,-88.4,1
258,07/26/20,Kintnersville,PA,40.6,-75.2,25
259,07/26/20,Village of Fairwater,WI,43.7,-88.9,3
260,07/26/20,Minneapolis,MN,45,-93.2,4
261,07/25/20,Mocksville,NC,35.9,-80.5,1
262,07/25/20,Buffalo,NY,42.9,-78.9,1
263,07/25/20,Rockwood,TN,35.9,-84.7,1
264,07/25/20,Wyoming,IL,41.1,-89.8,1
265,07/25/20,Kingston,NY,42,-74,1
266,07/25/20,Westfield,IN,40,-86.1,1
267,07/25/20,Saint Peters,MO,38.8,-90.6,1
268,07/25/20,Efland,NC,36,-79.2,1
269,07/25/20,Grawn,MI,44.6,-85.7,1
270,07/25/20,West Harwich,MA,41.7,-70.1,1
271,07/25/20,Hammond,IN,41.6,-87.5,1
272,07/25/20,Evanston,IL,42.1,-87.7,1
273,07/25/20,Minneapolis,MN,45,-93.2,1
274,07/25/20,Cleveland,OH,41.4,-81.8,1
275,07/25/20,Annapolis,NS,44.7,-65.5,3
276,07/25/20,Nebraska City,NE,40.7,-95.9,1
277,07/25/20,Waterloo,ON,43.5,-80.5,1
278,07/25/20,Louisville,KY,38.2,-85.7,3
279,07/25/20,Mequon,WI,43.2,-87.9,3
280,07/25/20,Andover,MN,45.2,-93.3,20
281,07/25/20,Mabel,MN,43.5,-91.9,22
282,07/25/20,Glen Rose,TX,32.2,-97.8,1
283,07/25/20,Bellaire,MI,44.9,-85.2,4
284,07/25/20,Cambridge,WI,43,-89,2
285,07/25/20,Annapolis,MD,38.9,-76.5,1
286,07/25/20,Windsor,ON,42.3,-82.9,1
287,07/25/20,Stonington,CT,41.3,-71.9,14
288,07/25/20,Pawcatuck,CT,41.4,-71.9,32
289,07/25/20,Madison,WI,43.1,-89.4,1
290,07/25/20,Bayside,NY,40.8,-73.8,2
291,07/25/20,Annapolis,MD,39,-76.5,2
292,07/25/20,Louisville,KY,38.2,-85.6,1
293,07/25/20,Georgina,ON,44.2,-79.5,3
294,07/25/20,Keyport,NJ,40.4,-74.2,1
295,07/25/20,Arlington,VA,38.9,-77.1,1
296,07/25/20,Milwaukee,WI,43.1,-87.9,1
297,07/25/20,Warrens,WI,44.2,-90.2,3
298,07/25/20,Broken Arrow,OK,36.1,-95.7,1
299,07/25/20,Discovery Bay,CA,37.9,-121.6,1
300,07/25/20,Ajax,ON,43.9,-79,2
301,07/25/20,Hammond,IN,41.6,-87.5,6
302,07/25/20,Broken Arrow,OK,36.1,-95.7,1
303,07/25/20,Callahan,CA,41.4,-122.8,1
304,07/25/20,Tulsa,OK,36.1,-95.8,1
305,07/25/20,Saint Louis,MO,38.6,-90.3,1
306,07/25/20,Allenton,WI,43.4,-88.4,1
307,07/25/20,Santa Clara,CA,37.4,-122,4
308,07/25/20,Green Bay,WI,44.5,-88.1,1
309,07/25/20,Minneapolis,MN,45,-93.2,2
310,07/24/20,Ogunquit,ME,43.3,-70.6,30
311,07/24/20,Redfield,IA,41.7,-94.2,1
312,07/24/20,Winnipeg,MB,49.9,-97.3,2
313,07/24/20,Pekin,IL,40.6,-89.6,1
314,07/24/20,Nebraska City,NE,40.7,-95.9,1
315,07/24/20,Harrisburg,PA,40.3,-76.8,1
316,07/24/20,Reston,VA,38.9,-77.3,1
317,07/24/20,Newington,CT,41.7,-72.7,1
318,07/24/20,Rockford,IL,42.3,-89,1
319,07/24/20,Beachwood,OH,41.5,-81.5,1
320,07/24/20,Lumberton,NJ,40,-74.8,5
321,07/24/20,Orillia,ON,44.6,-79.4,1
322,07/24/20,Elkton,MD,39.5,-75.9,1
323,07/24/20,Lakewood,OH,41.5,-81.8,1
324,07/24/20,Halifax,NS,44.7,-63.5,1
325,07/24/20,Allenton,WI,43.4,-88.4,2
326,07/24/20,Hackensack,NJ,40.9,-74,1
327,07/24/20,Newburgh,IN,37.9,-87.4,2
328,07/24/20,Waterloo,ON,43.5,-80.5,1
329,07/24/20,Barkmere,QC,46,-74.6,3
330,07/24/20,Canning,NB,46.1,-66,2
331,07/24/20,Spring,TX,30.1,-95.5,2
332,07/24/20,Ypsilanti,MI,42.2,-83.6,1
333,07/24/20,Eagle Bay,NY,43.8,-74.9,1
334,07/24/20,Beachwood,OH,41.5,-81.5,5
335,07/24/20,Newmarket,ON,44.1,-79.5,2
336,07/24/20,Hammond,IN,41.6,-87.5,12
337,07/24/20,Romulus,MI,42.3,-83.4,1
338,07/24/20,Mequon,WI,43.2,-87.9,2
339,07/24/20,Mabel,MN,43.5,-91.9,29
340,07/24/20,Swampscott,MA,42.5,-70.9,1
341,07/24/20,Chula Vista,CA,32.6,-117,1
342,07/24/20,Halifax,NS,44.6,-63.4,1
343,07/24/20,Milwaukee,WI,43.1,-87.9,1
344,07/24/20,East Greenbush,NY,42.6,-73.7,1
345,07/24/20,Lusby,MD,38.4,-76.5,1
346,07/24/20,Hammond,IN,41.6,-87.5,1
347,07/24/20,Antioch,IL,42.5,-88.1,3
348,07/24/20,Saint Louis,MO,38.6,-90.3,1
349,07/24/20,Berlin Heights,OH,41.3,-82.4,1
350,07/24/20,Minneapolis,MN,45,-93.2,2
351,07/24/20,Farmingdale,NY,40.8,-73.5,3
352,07/24/20,Loveland,CO,40.4,-105.1,1
353,07/24/20,Farmingdale,NY,40.8,-73.5,2
354,07/23/20,Beachwood,OH,41.5,-81.5,1
355,07/23/20,Bentonville,AR,36.4,-94.2,5
356,07/23/20,Stonington,CT,41.4,-71.9,1
357,07/23/20,Stonington,CT,41.3,-71.9,10
358,07/23/20,Ridgewood,NJ,41,-74.1,1
359,07/23/20,Halifax,NS,44.7,-63.5,1
360,07/23/20,Deep River,CT,41.4,-72.4,1
361,07/23/20,Louisville,KY,38.1,-85.9,1
362,07/23/20,Lusby,MD,38.4,-76.5,3
363,07/23/20,Verona,WI,43,-89.5,2
364,07/23/20,Portland,OR,45.5,-122.5,4
365,07/23/20,Portland,OR,45.6,-122.8,1
366,07/23/20,Minneapolis,MN,45,-93.2,2
367,07/23/20,Ada,MI,43,-85.5,7
368,07/23/20,Mabel,MN,43.5,-91.9,22
369,07/23/20,South Milwaukee,WI,42.9,-87.9,5
370,07/23/20,Allenton,WI,43.4,-88.4,3
371,07/23/20,Westport,CT,41.1,-73.3,1
372,07/23/20,Easthampton,MA,42.2,-72.7,3
373,07/23/20,Newmarket,ON,44.1,-79.5,1
374,07/23/20,Hammond,IN,41.6,-87.5,8
375,07/23/20,Mequon,WI,43.2,-87.9,1
376,07/23/20,Pinnacle,NC,36.3,-80.5,1
377,07/23/20,Westpoint,IN,40.3,-87,1
378,07/23/20,Fremont,MI,43.5,-85.9,4
379,07/23/20,Middletown,NJ,40.4,-74.1,1
380,07/23/20,Saint Louis,MO,38.6,-90.3,1
381,07/23/20,Minneapolis,MN,45,-93.2,4
382,07/23/20,Dayton,OH,39.8,-84.1,5
383,07/22/20,Broken Arrow,OK,36,-95.8,2
384,07/22/20,Annapolis,MD,38.9,-76.5,1
385,07/22/20,Canton,MI,42.3,-83.5,1
386,07/22/20,Lakewood,OH,41.5,-81.8,1
387,07/22/20,Wakefield,MA,42.5,-71.1,1
388,07/22/20,Saint-Constant,QC,45.4,-73.6,1
389,07/22/20,Berea,OH,41.4,-81.9,2
390,07/22/20,Ballwin,MO,38.6,-90.5,1
391,07/22/20,Mabel,MN,43.5,-91.9,19
392,07/22/20,Northern Bruce Peninsula,ON,45.3,-81.7,1
393,07/22/20,Omaha,NE,41.2,-96.2,50
394,07/22/20,Easthampton,MA,42.2,-72.7,1
395,07/22/20,Beachwood,OH,41.5,-81.5,1
396,07/22/20,Green Lake,WI,43.8,-89,1
397,07/22/20,Valyermo,CA,34.2,-117.7,1
398,07/22/20,Greenwood,IN,39.6,-86.1,1
399,07/22/20,Fort Collins,CO,40.6,-105.1,1
400,07/22/20,Belmont,MI,43.1,-85.5,3
401,07/22/20,Halifax,NS,44.7,-63.5,1
402,07/22/20,Yarmouth Municipal District,NS,43.8,-66.1,2
403,07/22/20,Newmarket,ON,44.1,-79.5,1
404,07/22/20,Hammond,IN,41.6,-87.5,1
405,07/22/20,Hammond,IN,41.6,-87.5,16
406,07/22/20,Hammond,IN,41.6,-87.5,3
407,07/22/20,Green Lake,WI,43.8,-89,1
408,07/22/20,Wainfleet,ON,42.9,-79.3,25
409,07/22/20,Lexington,KY,38.1,-84.5,1
410,07/22/20,Lorraine,QC,45.7,-73.8,1
411,07/22/20,Standish,ME,43.7,-70.5,2
412,07/22/20,Tequisquiapan,QUE,20.5,-99.9,1
413,07/22/20,Moultrie,GA,31.1,-83.8,1
414,07/22/20,Minneapolis,MN,45,-93.2,2
415,07/22/20,Burlington,ON,43.3,-79.9,2
416,07/22/20,Hammond,IN,41.6,-87.5,1
417,07/22/20,Hammond,IN,41.6,-87.5,3
418,07/22/20,North Babylon,NY,40.7,-73.3,1
419,07/22/20,Elmira,NY,42.1,-76.8,2
420,07/21/20,Minneapolis,MN,45,-93.2,2
421,07/21/20,Pendergrass,GA,34.2,-83.7,1
422,07/21/20,Jonesborough,TN,36.3,-82.5,2
423,07/21/20,Louisville,KY,38.1,-85.9,1
424,07/21/20,Dayton,OH,39.7,-84.2,1
425,07/21/20,Bradenton,FL,27.5,-82.6,2
426,07/21/20,Orillia,ON,44.6,-79.4,2
427,07/21/20,Stonington,CT,41.3,-71.9,11
428,07/21/20,Little Compton,RI,41.5,-71.2,2
429,07/21/20,Palmyra,NY,43,-77.2,2
430,07/21/20,Elizabeth,CO,39.3,-104.6,1
431,07/21/20,Big Rapids,MI,43.7,-85.6,4
432,07/21/20,Halifax,NS,44.5,-63.6,1
433,07/21/20,Naperville,IL,41.8,-88.1,3
434,07/21/20,Center Conway,NH,44,-71.1,1
435,07/21/20,Newburgh,IN,37.9,-87.4,1
436,07/21/20,Mabel,MN,43.5,-91.9,13
437,07/21/20,Singing Sands beach,ON,45.2,-81.6,6
438,07/21/20,Ansonia,CT,41.3,-73.1,1
439,07/21/20,Shawnee,KS,39,-94.7,2
440,07/21/20,Broken Arrow,OK,36.1,-95.7,1
441,07/21/20,Lusby,MD,38.4,-76.5,3
442,07/21/20,Danbury,CT,41.4,-73.5,1
443,07/21/20,Corpus Christi,TX,27.8,-97.4,1
444,07/21/20,Verona,WI,43,-89.5,3
445,07/21/20,Antioch,IL,42.5,-88.1,1
446,07/21/20,Allenton,WI,43.4,-88.4,1
447,07/21/20,Newmarket,ON,44.1,-79.5,3
448,07/21/20,Hammond,IN,41.6,-87.5,5
449,07/21/20,Mequon,WI,43.2,-87.9,2
450,07/21/20,Cambridge,WI,43,-89,3
451,07/21/20,Meredith,NH,43.7,-71.5,1
452,07/21/20,Mahopac,NY,41.4,-73.7,1
453,07/21/20,Endicott,NY,42.1,-76,1
454,07/21/20,Ellsworth,ME,44.5,-68.4,1
