Town,State,County
Preston,MN,
Pine River,MN,
Fergus Falls,MN,
Shorewood,MN,
Fairfax,MN,
Baxter,MN,
Franklin,MN,
Ponsford,MN,
Padua,MN,
Madison Lake,MN,
Apple Valley,MN,
Willow River,MN,
Brainerd,MN,
Roseau,MN,
Rochester,MN,
Akeley,MN,
Fairmont,MN,
Zumbro Falls,MN,
Hayfield,MN,
Atwater,MN,
Lindstrom,MN,
Hackensack,MN,
New Germany,MN,
Blomkest,MN,
Carver,MN,
Grand Rapids,MN,
Taunton,MN,
Waverly,MN,
New London,MN,
Esko,MN,
Brooklyn Center,MN,
Plymouth,MN,
Lake Park,MN,
Grand Meadow,MN,
Victoria,MN,
Lake George,MN,
Gotha,MN,
Chisago City,MN,
Lewiston,MN,
Ely,MN,
Caledonia,MN,
Ostrander,MN,
Dennison,MN,
Wright,MN,
Stillwater,MN,
Grey Cloud Island,MN,
Lutsen,MN,
Saint Louis Park,MN,
Falcon Heights,MN,
Deerwood,MN,
Jeffers,MN,
Andover,MN,
Sturgeon Lake,MN,
Minneota,MN,
Slayton,MN,
Angangueo,MN,
Puposky,MN,
Cannon Falls,MN,
Miesville,MN,
Bird Island,MN,
Sauk Centre,MN,
Two Harbors,MN,
Albert Lea,MN,
Webster,MN,
Bemidji,MN,
North Mankato,MN,
Viking,MN,
Elko New Market,MN,
Blackduck,MN,
Pipestone,MN,
Westbrook,MN,
Montrose,MN,
Saint Michael,MN,
Litchfield,MN,
Cedar,MN,
Deephaven,MN,
Albertville,MN,
Verndale,MN,
Sandstone,MN,
Richmond,MN,
Brooks,MN,
Lake Crystal,MN,
Lino Lakes,MN,
Barnum,MN,
East Valley Township,MN,
Little Falls,MN,
Lonsdale,MN,
Bloomington,MN,
Virginia,MN,
Shakopee,MN,
West Saint Paul,MN,
Kasson,MN,
New Brighton,MN,
St Charles,MN,
Holland,MN,
Manley,MN,
Winona,MN,
Lake Nokomis,MN,
Aurora,MN,
Maple Lake,MN,
Ironton,MN,
Delano,MN,
Hokah,MN,
Minnesota Lake,MN,
Glenwood,MN,
Eden Prairie,MN,
Chaska,MN,
Frontenac,MN,
Lake City,MN,
Lester Prairie,MN,
Farmington,MN,
Rosemount,MN,
Forbes,MN,
Spring Lake,MN,
Becker,MN,
Shafer,MN,
Isle,MN,
Ogilvie,MN,
Staples,MN,
Rochester Mn,MN,
Oakdale,MN,
St Anthony,MN,
Big Lake,MN,
Battle Lake,MN,
Savage,MN,
Weaver,MN,
Dalton,MN,
Waterville,MN,
Evergreen,MN,
Meadowlands,MN,
Minnesota City,MN,
Cohasset,MN,
Arlington,MN,
Donehower,MN,
Avoca,MN,
Brooklyn Park,MN,
Laporte,MN,
Saint Paul,MN,
Braham,MN,
Hilltop,MN,
St. Peter,MN,
Watertown,MN,
Thief River Falls,MN,
Zumbrota,MN,
Mcintosh,MN,
Duluth,MN,
Elk River,MN,
Winsted,MN,
Chanhassen,MN,
Medina,MN,
Carlton,MN,
St. Anthony,MN,
Oklee,MN,
Red Lake,MN,
Park Rapids,MN,
Howard Lake,MN,
East Bethel,MN,
Garrison,MN,
Brook Park,MN,
Anoka,MN,
Oakland,MN,
Woodbury,MN,
Zimmerman,MN,
Hollandale,MN,
