Town,State/Province,County
stillwater,MN,
marquette,MI,
rouses point,NY,
midland,MI,
willowick,OH,
ortonville,MI,
rochester,NY,
grand rapids,MI,
centerville,OH,
guys mills,PA,
damariscotta,ME,
waconia,MN,
kingston,NH,
grand forks,ND,
pequot lakes,MN,
victoria,MN,
wayzata,MN,
rootstown,OH,
minneapolis,MN,
mpls,MN,
fairmont,MN,
boyceville,WI,
zion,IL,
coleraine,MN,
terre haute,IN,
framingham,MA,
door county,WI,
pittsburgh,PA,
palmyra,WI,
antioch,IL,
des moines,IA,
peninsula point,MI,
beloit,WI,
st. louis park,MN,
hutchinson,MN,
janesvillei,WI,
plymouth,MA,
cleveland,OH,
montrose,IL,
east moriches,NY,
ray,MI,
belmont,MA,
annsonia,PA,
germania,PA,
fredonia village,NY,
east quogue,NY,
auburn,IN,
elmont,NY,
waterloo,IA,
rockford,IL,
dundee,MI,
rochester mn,MN,
dallas,OR,
lancaster,PA,
riverhead (long is.),NY,
west hartford,CT,
medford,OR,
montrose,MN,
toledo,OH,
thompson,IL,
dysart,IA,
warm springs,OR,
juction city,KS,
sunderland,MA,
newport news,VA,
indianapolis,IN,
rock island,IL,
la center,WA,
hebron,MD,
east bridgewater,MA,
woodland,WA,
malvern,IA,
canton,IL,
hills,IA,
benedict,NE,
topeka,KS,
moline,IL,
lincoln,NE,
abilene,KS,
river edge,NJ,
locust valley,NY,
ithaca,NE,
florissant,MO,
horsham,PA,
newark,DE,
davisville,WV,
green's farms,CT,
brodheadsville,PA,
columbus,OH,
texarkana,AR,
wheeler,IL,
crystal lake,IL,
chesterfield,MO,
columbus (gahanna),OH,
newark,OH,
newton,IL,
dieterich,IL,
granville,OH,
selma,IN,
5 miles outside emporia,KS,
hellertown,PA,
perkasie,PA,
manville,NJ,
prime hook nwr,DE,
frankfort,IN,
cape henlopen state park,DE,
middletown,DE,
toms river,NJ,
lower township,NJ,
clinton,NJ,
stafford,KS,
smithfield,RI,
bryans road,MD,
overland park,KS,
hazlet,NJ,
groton,CT,
howell township,NJ,
indian head,MD,
quantico,MD,
millis,MA,
manchester township,NJ,
gaithersburg,MD,
valley center,KS,
hedgesville,WV,
lawrence,KS,
vienna,VA,
avalon,NJ,
woodlake,VA,
raeford,NC,
chincoteague,VA,
rising sun,IL,
reading,PA,
winston-salem,NC,
san jon,NM,
annapolis,MD,
gainesville,GA,
fredericksburg,VA,
pleasant hill,MO,
big stone gap,VA,
wichita,KS,
tucumcari,NM,
smithville,MO,
durham,NC,
