Town,State/Province,County
stillwater,MN,Washington
marquette,MI,Marquette
rouses point,NY,Clinton
midland,MI,Midland
willowick,OH,Lake
ortonville,MI,Oakland
rochester,NY,Monroe
grand rapids,MI,Kent
centerville,OH,Montgomery
guys mills,PA,Crawford
damariscotta,ME,Lincoln
waconia,MN,Carver
kingston,NH,Rockingham
grand forks,ND,Grand Forks
pequot lakes,MN,Crow Wing
victoria,MN,Carver
wayzata,MN,Hennepin
rootstown,OH,Portage
minneapolis,MN,Hennepin
mpls,MN,Hennepin
fairmont,MN,Martin
boyceville,WI,Dunn
zion,IL,Lake
coleraine,MN,Itasca
terre haute,IN,Vigo
framingham,MA,Middlesex
door county,WI,Door
pittsburgh,PA,Allegheny
palmyra,WI,Jefferson
antioch,IL,Lake
des moines,IA,Polk
peninsula point,MI,Schoolcraft
beloit,WI,Rock
st. louis park,MN,Hennepin
hutchinson,MN,McLeod
janesvillei,WI,Rock
plymouth,MA,Plymouth
cleveland,OH,Cuyahoga
montrose,IL,Effingham
east moriches,NY,Suffolk
ray,MI,Macomb
belmont,MA,Middlesex
annsonia,PA,NULL
germania,PA,NULL
fredonia village,NY,Chautauqua
east quogue,NY,Suffolk
auburn,IN,DeKalb
elmont,NY,Nassau
waterloo,IA,Black Hawk
rockford,IL,Winnebago
dundee,MI,Monroe
rochester mn,MN,Olmsted
dallas,OR,POLK
lancaster,PA,Lancaster
riverhead (long is.),NY,Suffolk
west hartford,CT,Hartford
medford,OR,Jackson
montrose,MN,Wright
toledo,OH,Lucas
thompson,IL,Carroll
dysart,IA,Tama
warm springs,OR,Jefferson
juction city,KS,Geary
sunderland,MA,Franklin
newport news,VA,NULL
indianapolis,IN,Marion
rock island,IL,Rock Island
la center,WA,Clark
hebron,MD,Wicomico
east bridgewater,MA,Plymouth
woodland,WA,Cowlitz
malvern,IA,Mills
canton,IL,Fulton
hills,IA,Johnson
benedict,NE,York
topeka,KS,Shawnee
moline,IL,Rock Island
lincoln,NE,LANCASTER
abilene,KS,Dickinson
river edge,NJ,Bergen
locust valley,NY,Nassau
ithaca,NE,Seward
florissant,MO,St. Louis
horsham,PA,Montgomery
newark,DE,New Castle
davisville,WV,Wood
green's farms,CT,Fairfield
brodheadsville,PA,Monroe
columbus,OH,Franklin
texarkana,AR,Miller
wheeler,IL,Moultrie
crystal lake,IL,McHenry
chesterfield,MO,St. Louis
columbus (gahanna),OH,Franklin
newark,OH,Licking
newton,IL,Jasper
dieterich,IL,Effingham
granville,OH,Licking
selma,IN,Delaware
5 miles outside emporia,KS,Lyon
hellertown,PA,Northampton
perkasie,PA,Bucks
manville,NJ,Somerset
prime hook nwr,DE,Sussex
frankfort,IN,Clinton
cape henlopen state park,DE,Sussex
middletown,DE,New Castle
toms river,NJ,Ocean
lower township,NJ,Cape May
clinton,NJ,Hunterdon
stafford,KS,Stafford
smithfield,RI,Providence
bryans road,MD,Charles
overland park,KS,Johnson
hazlet,NJ,Monmouth
groton,CT,New London
howell township,NJ,Monmouth
indian head,MD,Charles
quantico,MD,Wicomico
millis,MA,Norfolk
manchester township,NJ,Ocean
gaithersburg,MD,Montgomery
valley center,KS,Sedgwick
hedgesville,WV,Berkeley
lawrence,KS,Douglas
vienna,VA,Fairfax
avalon,NJ,Cape May
woodlake,VA,Goochland
raeford,NC,Hoke
chincoteague,VA,Accomack
rising sun,IL,NULL
reading,PA,Berks
winston-salem,NC,Forsyth
san jon,NM,Quay
annapolis,MD,Anne Arundel
gainesville,GA,Hall
fredericksburg,VA,Spotsylvania
pleasant hill,MO,Cass
big stone gap,VA,Wise
wichita,KS,Sedgwick
tucumcari,NM,Quay
smithville,MO,Clay
durham,NC,Durham
woodbridge,VA,Prince William
bakersville,NC,Burke
raleigh,NC,Wake
princeton,NJ,Mercer
coxs creek,KY,Nelson
mt. juliet,TN,Wilson
arlington,VA,Arlington
amherst,VA,Amherst
clayton,MO,St. Louis
myrtle beach,SC,Horry
amherst co.,VA,Amherst
unicoi,TN,Unicoi
lewisburg,WV,Greenbrier
orleans,MA,Barnstable
fort worth,TX,Tarrant
birmingham,AL,Jefferson
virginia beach,VA,Virginia Beach City
smithfield,NC,Johnston
cedartown,GA,Polk
poplar branch,NC,Currituck
oak ridge,TN,Anderson
cape may point,NJ,Cape May
piscataway,NJ,Middlesex
maurice river,NJ,Cumberland
middle township,NJ,Cape May
delmar,MD,Wicomico
alexandria,VA,Fairfax
chatham co.,NC,Chatham
mar-mac,NC,Wayne
bardwell,KY,Carlisle
tupelo,MS,Lee
lillington,NC,Harnett
louisville,KY,Jefferson
baton rouge,LA,East Baton Rouge
harrisburg,IL,Saline
westmoreland,TN,Sumner
dracut,MA,Middlesex
clayton,NC,Johnston
simpsonville,SC,Greenville
gallatin,TN,Sumner
ash,NC,Brunswick
ardmore,OK,Carter
pine lake,GA,DeKalb
wilmington,NC,New Hanover
manes,MO,Howell
lawton,OK,Comanche
fayetteville,AR,Washington
charleston,AR,Franklin
oklahoma city,OK,Oklahoma
chapel hill,NC,Orange
monroe,GA,Walton
new orleans,LA,Orleans
mcminnville,TN,Warren
warren co.,TN,Warren
kennesaw,GA,Cobb
moncks corner,SC,Berkeley
lubbock,TX,Lubbock
cary,NC,Wake
andersons corner,GA,Bryan
cosby,TN,Sevier
johnson city,TN,Washington
clarkesville,GA,Habersham
walland,TN,Blount
lufkin,TX,Angelina
monticello,AR,Drew
clemson,SC,Pickens
guthrie,OK,Logan
little rock,AR,Pulaski
dumas,AR,Desha
dallas,TX,Dallas
east flat rock,NC,Henderson
rogers,TX,Bell
mckinney,TX,Collin
hondo,TX,Medina
paris,AR,Logan
southern pines,NC,Moore
clinton,MS,Hinds
austin,TX,Travis
temple,TX,Bell
mcallen,TX,Hidalgo
new braunfels,TX,Comal
spring,TX,Montgomery
sugar land,TX,Fort Bend
houston,TX,Harris
elgin,TX,BASTROP
largo,FL,Pinellas
alice,TX,Jim Wells
orchard,TX,Fort Bend
galveston,TX,Galveston
hearne,TX,Robertson
bradenton,FL,Manatee
caldwell,TX,Burleson
alief,TX,Harris
tivoli,TX,Refugio
scissors,TX,Jones
baytown,TX,Harris
alamo,TX,Hidalgo
rio grande valley,TX,Hidalgo
galveston bay,TX,Galveston
weslaco,TX,Hidalgo
parrish,FL,Manatee
fremont,CA,Alameda
humble,TX,Harris
denver,CO,Denver
brunswick,OH,Medina
anniston,AL,Calhoun
"sugar land,",TX,Fort Bend
peterborough,NH,Hillsborough
whitemarsh,VA,Gloucester
mountain city,TN,Johnson
athens,AL,Limestone
farmer city,IL,NULL
livingston,WI,Iowa
scarborough,ME,Cumberland
"toms river,",NJ,Ocean
canaan,VT,Essex
north myrtle beach,SC,Horry
chicago,IL,Cook
del rio,TX,Val Verde
st.helena island,SC,Beaufort
hampton,VA,NULL
collegeville,PA,Montgomery
washingtonville,NY,Orange
shady side,MD,Anne Arundel
brookfield,WI,Waukesha
chestnut hill,MA,NULL
brackenridge,PA,Allegheny
orlando,FL,Orange
brenham,TX,Washington
albany,CA,Alameda
slidell,LA,St. Tammany
jim thorpe,PA,Carbon
plymouth,MN,Hennepin
college station,TX,Brazos
st. marys,WV,Pleasants
shawnee,KS,Johnson
lorenzo,TX,Crosby
boone,NC,Watauga
rockville,MD,Montgomery
georgetown,TX,Williamson
peru,NY,Clinton
"glen flora,",WI,Rusk
throop,PA,Lackawanna
miamisburg/centerville,OH,Montgomery
iraan,TX,Pecos
nyack,NY,Rockland
lewisville,TX,Denton
lansdale,PA,Montgomery
williamsburg,MA,Hampshire
hale center,TX,Hale
indio,CA,Riverside
st. helena island,SC,Beaufort
prarie du chein,WI,Crawford
dumont,NJ,Bergen
reynoldsburg,OH,Franklin
warren,MI,Macomb
atlanta,GA,Fulton
"racine, wi",WI,Racine
holly springs,NC,Wake
aiken,SC,Aiken
silver spring,MD,Montgomery
grand island,NE,Hall
blue hill,ME,Hancock
north wilkesboro,NC,Wilkes
binghamton,NY,Broome
dover,NH,Strafford
holyoke,MA,Hampden
wynnewood,PA,Montgomery
canton,NY,St. Lawrence
"texarkana,",AR,Miller
richland hills,TX,Tarrant
midland,TX,Midland
kansas city,KS,Wyandotte
lewisburg,TN,Marshall
rush,NY,Monroe
chittenden,VT,Rutland
york,NE,York
rye,NH,Rockingham
interlochen,MI,Grand Traverse
"iron river,",MI,Iron
burlington,NC,Alamance
wichita falls,TX,Wichita
new gloucester,ME,Cumberland
racine,WI,Racine
garyville,LA,St. John the Baptist
auburn,CA,Placer
cleveland,MS,Bolivar
fremont,MI,Newaygo
bronte,TX,Coke
omaha,NE,Douglas
parkersburg,WV,Wood
west des moines,IA,Polk
san angelo,TX,Tom Green
bristol,TX,Bell
oxford,NJ,Warren
palm springs,CA,Riverside
middlesex,NJ,Middlesex
traverse city,MI,Grand Traverse
elkview,WV,Kanawha
barnet,VT,Caledonia
shawnee mission,KS,Johnson
kenosha,WI,Kenosha
louisville,CO,Boulder
lenoir,NC,Caldwell
henrietta,NY,Monroe
blackwell,OK,Kay
perrysburg,OH,Wood
duluth,MN,St. Louis
st. charles,MO,St. Charles
richland,WA,Benton
manchester,VT,Bennington
oconomowoc,WI,Waukesha
hagerstown,MD,Washington
grafton,IL,Jersey
clinton,CT,Middlesex
springfield,VA,Fairfax
west st. paul,MN,Dakota
belmont,WV,Pleasants
kansas city,MO,Jackson
asheville,NC,Buncombe
lacynge,KS,Reno
sandstone,MN,Pine
carbondale,CO,Garfield
bar harbor,ME,Hancock
harlan,IA,Shelby
downingtown,PA,Chester
st. louis,MO,St. Louis
granite city,IL,Madison
kenner,LA,Jefferson
lenoir city,TN,Loudon
altoona,WI,Eau Claire
huntington,IN,Huntington
defiance,MO,Lincoln
dexter,ME,Penobscot
port huron,MI,St. Clair
seville,OH,Medina
sartell,MN,Stearns
bremen,ME,Lincoln
port lavaca tx 77979,TX,Calhoun
port lavaca,TX,Calhoun
cedarhurst,NY,Nassau
woodbridge,NJ,Middlesex
silver city,NM,Grant
gore,OK,Sequoyah
buda,TX,Hays
"st. petersburg,",FL,Pinellas
statham,GA,Barrow
port lavaca 77979,TX,Calhoun
texas,TX,Travis
phila,PA,Philadelphia
victoria tx 77901,TX,Victoria
franklin,TN,Williamson
"metairie,",LA,Jefferson
pineville,LA,Rapides
victoria 77901,TX,Victoria
tyler,TX,Smith
benton,PA,Columbia
abilene,TX,Taylor
fairfield,OH,Butler
cape coral,FL,Lee
mpls.,MN,Hennepin
sebastian,FL,Indian River
victoria,TX,Victoria
woodbridge,AK,Ketchican Gateway
chickasaw,AL,Mobile
twentynine palms,CA,San Bernardino
somers,CT,Tolland
south pelto,LA,NULL
middletown,NY,Orange
angangueo,MN,NULL
dover,AR,Pope
"goffstown,",NH,Hillsborough
antrim,NH,NULL
kyle,TX,Hays
houston/galveston,TX,Harris
edmond,OK,Oklahoma
reston,VA,Fairfax
tuscola,TX,Taylor
rosita north,TX,Pecos
vero beach,FL,Indian River
maypearl,TX,Ellis
el indio,TX,Maverick
flagstaff,AZ,Coconino
chickasha,OK,Grady
muskogee,OK,Muskogee
vanderpool,TX,Bandera
starr,SC,Anderson
spofford,TX,Kinney
san antonio,TX,Bexar
pampa,TX,Gray
denton,TX,Denton
"fort worth, texas",TX,Tarrant
summerfield,FL,Marion
campbell,TX,Hunt
grapevine,TX,Tarrant
richardson,TX,Dallas
stinnett,TX,Hutchinson
"azle, tx",TX,Tarrant
kingwood,TX,Harris
dumas,TX,Moore
norman,OK,Cleveland
perry,OK,Noble
ft.worth,TX,Tarrant
enid,OK,Garfield
menard,TX,Menard
elk city,KS,Montgomery
rocky mount,NC,Edgecombe
sunray,TX,Sherman
clintwood,VA,Dickenson
sublette,KS,Haskell
madison,CT,New Haven
nashville,KS,Kingman
st.augustine,FL,St. Johns
northvale,NJ,Bergen
gloucester,MA,Essex
joplin,MO,Jasper
carthage,MO,Jasper
pilot mountain,NC,Surry
laurens,SC,Laurens
canton,MA,Norfolk
pflugerville,TX,Travis
el dorado springs,MO,Cedar
nevada,MO,Vernon
lamar,MO,Barton
lake city,GA,Clayton
nashville,TN,Davidson
stone mountain,GA,DeKalb
westford,MA,Middlesex
mystic,CT,New London
bluff city,TN,Sullivan
foster,RI,Providence
muscatine,IA,Muscatine
queensbury,NY,Warren
seabrook,TX,Harris
bedford,VA,Bedford
riverdale,MD,Prince George's
dodge city,KS,Ford
ardmore,AL,Limestone
middle island,NY,Suffolk
locust grove,GA,Henry
emporia,KS,Lyon
hillsboro,NH,Hillsborough
elkhorn,WI,Walworth
jacksonville,TX,Cherokee
idaho springs,CO,Clear Creek
hershey,PA,Dauphin
sharon,CT,Litchfield
sharon,MA,Norfolk
middlebury,VT,Addison
williamsburg,VA,James City
fostoria,OH,Seneca
ogdensburg,NY,St. Lawrence
longview,TX,Greg
mamaroneck,NY,Westchester
decatur,AL,Morgan
collierville,TN,Shelby
sterling,VA,Loudoun
busick,NC,Alleghany
richland center,WI,Richland
charlotte,NC,Mecklenburg
sulphur,LA,Calcasieu
bracketville,TX,Kinney
lynchburg,VA,Campbell
cedar falls,IA,Black Hawk
tremont,IL,Tazewell
lebanon,MO,Laclede
pgh,PA,Allegheny
ellsworth,WI,Pierce
colchester,IL,McDonough
college springs,IA,Page
oshkosh,WI,Winnebago
hopkinton,NH,Merrimack
lisbon,OH,Columbiana
iowa city,IA,Johnson
churdan,IA,Greene
bend,TX,Lampasas
valley,NE,Douglas
lehigh,IA,Webster
fredericksburg,OH,Wayne
monticello,NY,Sullivan
buffalo,NY,Erie
fort calhoun,NE,Washington
broaddus,TX,San Augustine
"cleveland,ohio",OH,Cuyahoga
clinton twsp.,MI,Lenawee
orange,CT,New Haven
chicago heights,IL,Cook
vergennes,VT,Addison
loomis,NE,Gage
south bristol,ME,Lincoln
kerhonkson,NY,Ulster
stonewall,TX,Gillespie
glen spey,NY,Sullivan
galena,IL,Jo Daviess
greenville,MS,Washington
bethany,CT,New Haven
pueblo,CO,Pueblo
shakopee,MN,Scott
osage,IA,Mitchell
lexington,NE,Dawson
mukwonago,WI,Waukesha
"st. louis, mo",MO,St. Louis
henryville,IN,Clark
westbrook,CT,Middlesex
westport,CT,Fairfield
fortville,IN,Hancock
rochester,IN,Fulton
brandon,FL,Hillsborough
mound city,MO,Holt
blair,NE,Washington
winfield,IL,DuPage
merrimack,NH,Hillsborough
north bend,NE,Dodge
skidmore,MO,Nodaway
council bluffs,IA,Pottawattamie
northfield,MN,Rice
milwaukee,WI,Milwaukee
mount carroll,IL,Carroll
cedar rapids,IA,Linn
tama,IA,Tama
griffith,IN,Lake
ada,OK,Pontotoc
"glen rose,",TX,Somervell
"saltaire, fire island",NY,Suffolk
"gardiner,",ME,Kennebec
pittsboro,NC,Chatham
fort walton beach,FL,Okaloosa
gotha,MN,Sibley
waseca,MN,Waseca
wolfeboro,NH,Carroll
north canton,OH,Stark
waukesha,WI,Waukesha
big lake,TX,Reagan
antigo,WI,Langlade
clinton,IN,Vermillion
cologne,MN,Le Sueur
rockwall,TX,Rockwall
groton,MA,Middlesex
castleton,VT,Rutland
front royal,VA,Warren
grafton,VA,York
mt. ida,AR,Montgomery
beach haven,NJ,Ocean
mishicot,WI,Manitowoc
canton,MI,Wayne
floyd,VA,NULL
deforest,WI,Dane
west portsmouth,OH,Scioto
katonah,NY,Westchester
montpelier,VT,Washington
springport,MI,Jackson
peachtree city,GA,Fayette
radford,VA,NULL
tulsa,OK,Tulsa
fairview park,OH,Cuyahoga
demorest,GA,Habersham
moodus,CT,Middlesex
westerly,RI,Washington
newton,MA,Middlesex
claremont,NH,Sullivan
schenectady,NY,Schenectady
brookline,MA,Norfolk
bowie,MD,Prince George's
broken arrow,OK,Tulsa
fiskdale,MA,Worcester
sunset hills,MO,St. Louis
dell rapids,SD,Minnehaha
hales corners,WI,Milwaukee
st cloud,MN,Stearns
redford,MI,Wayne
brooksville,FL,Hernando
fabius,NY,Onondaga
sidney,IA,Fremont
geneva,NY,Ontario
parshall,ND,Mountrail
amherst,MA,Hampshire
cresco,IA,Howard
janesville,WI,Rock
gowanda,NY,Cattaraugus
mentor,OH,Lake
salt lake city,UT,Salt Lake
goessel,KS,Marion
eagle,WI,NULL
monument,CO,El Paso
spearfish,SD,Lawrence
yonkers,NY,Westchester
new baltimore,MI,Macomb
haverhill,MA,Essex
kennewick,WA,Benton
worcester,MA,Worcester
bryan,TX,Brazos
tiki island,TX,Galveston
friendswood,TX,Harris
gulf breeze,FL,Santa Rosa
tow,TX,Montgomery
crawfordville,FL,Wakulla
,TX,Travis
port o'connor,TX,Calhoun
navarre,FL,Santa Rosa
aransas nwr,TX,Aransas
torrance,CA,Los Angeles
santa monica,CA,Los Angeles
carmel,CA,Monterey
auberry,CA,Fresno
pasadena,TX,Harris
palm beach gardens,FL,Palm Beach
los osos,CA,San Luis Obispo
pismo beach,CA,San Luis Obispo
miami,FL,Miami-Dade
marianna,FL,Jackson
pacific grove,CA,Monterey
naples,FL,Collier
beatrice,AL,Monroe
englewood,NJ,Bergen
wrightstown,NJ,Burlington
siesta key,FL,Sarasota
sarasota,FL,Sarasota
nipomo,CA,San Luis Obispo
eden,FL,null
san diego,CA,San Diego
jekyll island,GA,Glynn
pensacola,FL,Escambia
st. petersburg,FL,Pinellas
cypress,TX,Harris
"los osos, morro bay",CA,San Luis Obispo
missouri city,TX,Fort Bend
melbourne,FL,Brevard
santa cruz,CA,Santa Cruz
alameda,CA,Alameda
cape canaveral,FL,Brevard
st. marks,FL,Wakulla
fort myers,FL,Lee
waunakee,WI,DANE
north port,FL,Sarasota
mission,TX,Hidalgo
port o connor,TX,Calhoun
rockport,TX,Aransas
st marks,FL,Wakulla
dickinson,TX,Galveston
rotonda,FL,Charlotte
santa barbara,CA,Santa Barbara
port st. joe,FL,Gulf
ponte vedra beach,FL,St. Johns
panama city,FL,Bay
marina del rey,CA,Los Angeles
spring valley,TX,Harris
pearland,TX,Brazoria
leander,TX,Williamson
huntington beach,CA,Orange
pepperell,MA,Middlesex
moorpark,CA,Ventura
beaumont,TX,Jefferson
jacksonville,FL,Duval
winter springs,FL,Seminole
lighthouse point,FL,Broward
wesley chapel,FL,Pasco
gainesville,FL,Alachua
boynton beach,FL,Palm Beach
atascocita,TX,Harris
ormond beach,FL,Volusia
clearwater,FL,Pinellas
james island,SC,Charleston
leo carrillo state beach,CA,Los Angeles
metairie,LA,Jefferson
doheny state beach,CA,Orange
andrew molera state park,CA,Monterey
big sycamore canyon,CA,Riverside
san buenaventura,CA,Ventura
carpinteria state beach,CA,Santa Barbara
goleta,CA,Santa Barbara
pismo state beach,CA,San Luis Obispo
montana de oro state park,CA,San Luis Obispo
morro bay,CA,San Luis Obispo
san simeon,CA,San Luis Obispo
boca raton,FL,Palm Beach
cape romain national wildlife refug,SC,Charleston
hunting island state park,SC,Beaufort
brunswick,GA,null
port wentworth,GA,Chatham
tallahassee,FL,Leon
oakland,CA,Alameda
berkeley county,SC,Berkeley
south padre island,TX,Cameron
punta gorda,FL,Charlotte
darien,GA,McIntosh
dauphin island,AL,Mobile
apopka,FL,Orange
mission valley,TX,NULL
atlantic beach,NC,Carteret
league city,TX,Galveston
coral gables,FL,Miami-Dade
lake waccamaw,NC,Columbus
charleston,SC,Charleston
kiawah island,SC,Charleston
houston 77059,TX,Harris
beaufort,NC,Carteret
mt. pleasant,SC,Charleston
bulls island,SC,Charleston
elk city,OK,Beckham
key biscayne,FL,Miami-Dade
st. marks national wildlife refuge,FL,Wakulla
apple valley,CA,San Bernardino
port st. lucie,FL,St. Lucie
green pond,SC,Colleton
ojai,CA,Ventura
dunedin,FL,Pinellas
fort macon state park,NC,Carteret
yorba linda,CA,Orange
north olmsted,OH,Cuyahoga
media,PA,Delaware
coal city,IL,Grundy
texas city,TX,Galveston
katy,TX,Harris
n volusia county,FL,Volusia
eastwood,SC,Lexington
edisto island,SC,Charleston
patriot’s point,SC,CHARLESTON
astor,FL,Lake
fort johnson,SC,Charleston
st. marks wildlife refuge,FL,Wakulla
palm coast,FL,Flagler
st petersburg,FL,Pinellas
benbrook,TX,Tarrant
hunting is. state park,SC,Oconee
jupiter,FL,Palm Beach
diamondhead,MS,Harrison
tarpon springs,FL,Pinellas
jordan,NY,Onondaga
rossmoor,CA,Orange
sullivan's island,SC,Charleston
folly beach,SC,Charleston
st. pete,FL,Pinellas
tomales bluff,CA,Marin
monona,IA,Clayton
gladstone,MO,Clay
eau claire,WI,Eau Claire
kingfisher,OK,Kingfisher
coral springs,FL,Broward
phoenix,AZ,Maricopa
hollywood,FL,Broward
savannah,GA,Chatham
corpus christi,TX,Nueces
oldsmar,FL,Pinellas
saint marks,FL,Wakulla
panacea,FL,Wakulla
carrabelle,FL,Franklin
port saint lucie,FL,St. Lucie
new port richey,FL,Pasco
port charlotte,FL,Charlotte
saint petersburg,FL,Pinellas
palm harbor,FL,Pinellas
sanford,FL,Seminole
deltona,FL,Volusia
moreno valley,CA,Riverside
coconut  grove,FL,Miami-Dade
tampa,FL,Hillsborough
lakeland,FL,Polk
la porte,TX,Harris
muir woods,CA,Marin
trinity,FL,Pasco
w melbourne,FL,Brevard
rancho mirage,CA,Riverside
big sur,CA,Monterey
san luis obispo,CA,San Luis Obispo
plaskett creek,CA,Monterey
point lobos,CA,Monterey
point mugu sp,CA,Ventura
tarpley,TX,Bandera
palm bay,FL,Brevard
kendalia,TX,Kendall
lexington,MA,Middlesex
columbus,GA,Muscogee
balcones canyonlands nwr,TX,Travis
corsicana,TX,Navarro
smyrna,GA,Cobb
greenwood,SC,Greenwood
freeport,ME,Cumberland
"beaverdam reservoir, loudoun county",VA,Loudoun
weston,CT,Fairfield
sunapee,NH,Sullivan
creston,IA,Union
alstead,NH,Cheshire
santa fe,NM,Santa Fe
fairfax,VT,Franklin
jericho,VT,Chittenden
chesterfield,MI,Macomb
scotia,NY,Schenectady
"la grange park,",IL,Cook
torrington,CT,Litchfield
moretown,VT,Washington
